dataset,hidden_dims,learning_rate,num_layers,shapelet_width_increment,dropout,weight_decay,alpha,epsilon
Adiac,75,0.21392811,6,50,0.60110478,0.18261532,0.74720931,5.37153917
Beef,100,0.00856856,8,30,0.96196923,0.00134536,0.66938682,4.03980799
CBF,100,0.27481967,6,50,0.36501498,0.03133028,0.30768553,8.19328417
ChlorineConcentration,25,0.00440884,1,30,0.21888801,0.00093708,0.91771843,5.87655093
CinCECGTorso,25,0.00894910,1,10,0.05296619,0.00017918,0.85456189,2.44630859
Coffee,50,0.00066218,6,10,0.05783042,0.01962392,0.64948814,6.36022832
CricketX,50,0.14709601,3,70,0.07895190,0.00048415,0.82738957,0.96573443
CricketY,25,0.03782718,2,70,0.40150478,0.00001394,0.34896885,2.12121817
CricketZ,50,0.00161321,4,10,0.99564698,0.00243917,0.37455212,12.76833075
DiatomSizeReduction,75,0.01000000,6,70,0.50000000,0.00000000,0.25000000,10.00000000
ECG200,75,0.00409129,3,30,0.06637779,0.00044298,0.76330340,14.57124240
ECGFiveDays,25,0.01000000,4,50,0.50000000,0.00000000,0.25000000,10.00000000
FaceAll,25,0.04296585,3,50,0.17193009,0.01553467,0.58552771,2.05866527
FaceFour,75,0.03400351,7,30,0.42821138,0.00010752,0.56197496,10.86677834
FacesUCR,75,0.03212740,4,70,0.37829612,0.10656084,0.53656230,1.60898398
FiftyWords,50,0.00092248,1,10,0.78044215,0.00003884,0.20055543,3.51157602
Fish,50,0.05196953,2,30,0.86491291,0.00576592,0.27278487,6.30972410
GunPoint,100,0.01096282,3,30,0.46678667,0.00004786,0.65590563,6.58900706
Haptics,75,0.01000000,8,70,0.50000000,0.00000000,0.25000000,10.00000000
InlineSkate,100,0.01000000,4,30,0.50000000,0.00000000,0.25000000,10.00000000
ItalyPowerDemand,25,0.00034174,7,70,0.37450890,0.00002757,0.92571822,14.89530840
Lightning2,75,0.00713794,7,50,0.49259876,0.00005843,0.97373587,13.48292071
Lightning7,25,0.00039736,6,70,0.96779399,0.00004127,0.50689806,8.30294053
Mallat,100,0.01000000,8,70,0.50000000,0.00000000,0.25000000,0.00000000
MedicalImages,25,0.00485762,7,70,0.64784430,0.00143559,0.14466499,9.57751103
MoteStrain,50,0.10000000,6,10,0.50000000,0.00000000,0.25000000,10.00000000
NonInvasiveFatalECGThorax1,50,0.01000000,5,50,0.50000000,0.00000000,0.25000000,10.00000000
NonInvasiveFatalECGThorax2,50,0.01000000,6,70,0.50000000,0.00000000,0.25000000,10.00000000
OliveOil,50,0.10000000,6,10,0.50000000,0.00000000,0.25000000,10.00000000
OSULeaf,100,0.01000000,8,70,0.50000000,0.00000000,0.25000000,0.00000000
SonyAIBORobotSurface1,25,0.01000000,4,10,0.50000000,0.00000000,0.25000000,10.00000000
SonyAIBORobotSurface2,50,0.01000000,4,30,0.50000000,0.00000000,0.25000000,10.00000000
StarLightCurves,75,0.01000000,8,30,0.50000000,0.00000000,0.50000000,10.00000000
SwedishLeaf,25,0.01000000,6,30,0.50000000,0.00000000,0.25000000,10.00000000
Symbols,25,0.01000000,4,50,0.50000000,0.00000000,0.25000000,10.00000000
SyntheticControl,75,0.01000000,8,30,0.50000000,0.00000000,0.25000000,10.00000000
Trace,25,0.01000000,4,10,0.50000000,0.00000000,0.25000000,10.00000000
TwoLeadECG,75,0.01000000,4,10,0.50000000,0.00000000,0.25000000,0.00000000
TwoPatterns,100,0.23756087,8,70,0.29910904,0.03287928,0.55610603,11.33879549
UWaveGestureLibraryX,100,0.01000000,8,70,0.50000000,0.00000000,0.25000000,10.00000000
UWaveGestureLibraryY,75,0.01000000,7,50,0.50000000,0.00000000,0.25000000,10.00000000
UWaveGestureLibraryZ,100,0.01000000,8,30,0.50000000,0.00000000,0.25000000,10.00000000
Wafer,50,0.01000000,4,70,0.50000000,0.00000000,0.25000000,10.00000000
WordSynonyms,75,0.10000000,4,70,0.50000000,0.00000000,0.25000000,10.00000000
Yoga,50,0.01000000,4,50,0.50000000,0.00000000,0.25000000,10.00000000
