Dataset,ECTS,EDSC,RelClass,ECDIRE,SR1-CF1,ECEC,ELECTS
FiftyWords,57,48.00000000,66,53,62,67,
Adiac,40,16.00000000,63,55,60,73,
Beef,50,23.00000000,57,50,53,87,
CBF,85,84.00000000,64,89,89,95,
ChlorineConcentration,62,52.00000000,82,56,58,67,
CinCECGTorso,87,55.00000000,85,81,81,89,
Coffee,75,75.00000000,89,96,93,93,
CricketX,56,52.00000000,61,57,57,72,
CricketY,63,57.00000000,68,63,66,80,
CricketZ,59,50.00000000,66,60,63,79,
DiatomSizeReduction,80,85.00000000,94,80,78,88,
ECG200,89,85.00000000,89,91,86,86,
ECGFiveDays,62,74.00000000,52,60,62,85,
FaceAll,76,66.00000000,69,87,85,92,
FaceFour,82,75.00000000,83,61,91,85,
FacesUCR,71,63.00000000,77,4,78,87,
Fish,75,68.00000000,79,81,86,93,
GunPoint,87,94.00000000,91,87,93,99,98.00000000
Haptics,37,34.00000000,41,44,44,34,
InlineSkate,33,18.00000000,27,26,29,62,
ItalyPowerDemand,94,82.00000000,85,93,90,78,
Lightning2,70,8.00000000,62,54,66,71,
Lightning7,58,67.00000000,68,48,44,70,
Mallat,85,59.00000000,73,78,84,70,
MedicalImages,68,60.00000000,67,74,74,70,
MoteStrain,88,78.00000000,58,80,78,89,
OliveOil,90,60.00000000,77,40,63,93,
OSULeaf,49,56.00000000,48,52,50,66,
SonyAIBORobotSurface1,69,80.00000000,79,83,81,80,
SonyAIBORobotSurface2,85,81.00000000,88,74,78,78,
StarLightCurves,15,,95,95,95,96,
SwedishLeaf,78,47.00000000,83,87,85,91,
Symbols,81,51.00000000,71,81,77,65,
SyntheticControl,88,89.00000000,98,96,94,96,
Trace,74,80.00000000,86,77,81,96,
TwoLeadECG,73,88.00000000,72,81,83,96,
TwoPatterns,86,88.00000000,93,87,83,99,
UWaveGestureLibraryX,73,,75,77,75,79,
UWaveGestureLibraryY,63,37.00000000,68,70,68,69,
UWaveGestureLibraryZ,65,52.00000000,71,71,71,73,
Wafer,99,99.00000000,99,98,98,99,
WordSynonyms,59,47.00000000,65,52,54,61,
Yoga,81,71.00000000,83,85,78,87,
NonInvasiveFatalECGThorax1,81,,87,89,88,91,
NonInvasiveFatalECGThorax2,88,,88,93,93,93,
